codigo,nombre,cantidad_disponible,precio,fecha_vencimiento,dosis,cantidad_vendida,fecha
393,Azitromicina,411,14.33,2027-06-23,500 mg,190,2025-04-25
394,Ranitidina,61,12.99,2025-11-22,150 mg,184,2024-10-13
395,Cetirizina,420,24.98,2027-05-24,10 mg,166,2024-09-26
396,Losartan,175,11.96,2026-02-11,50 mg,7,2025-05-17
397,Paracetamol,239,9.69,2027-06-18,500 mg,53,2024-09-13
398,Loratadina,97,10.23,2026-02-10,10 mg,47,2024-12-22
399,Clorfenamina,217,19.18,2026-01-09,4 mg,109,2024-09-19
400,Cetirizina,440,10.12,2025-08-22,10 mg,3,2024-06-22
401,Cetirizina,48,19.35,2027-03-16,10 mg,103,2024-07-20
402,Metformina,295,19.15,2026-12-04,850 mg,15,2024-08-28
403,Azitromicina,121,7.44,2025-07-15,500 mg,84,2025-03-03
404,Metformina,16,16.24,2027-09-21,850 mg,146,2025-01-06
405,Dipirona,283,14.3,2026-12-13,500 mg,49,2025-02-10
406,Naproxeno,24,9.94,2027-10-27,500 mg,11,2024-12-14
407,Clorfenamina,303,19.67,2027-01-19,4 mg,1,2024-06-15
408,Omeprazol,284,13.92,2027-02-06,20 mg,104,2024-11-07
409,Loratadina,91,17.07,2025-08-04,10 mg,78,2024-08-09
410,Ibuprofeno,137,9.14,2026-02-23,400 mg,182,2024-09-03
411,Azitromicina,418,5.82,2025-08-17,500 mg,46,2024-06-08
412,Clorfenamina,304,9.27,2026-06-19,4 mg,93,2024-09-12
413,Salbutamol,56,22.85,2027-09-23,100 mcg,175,2024-06-03
414,Amoxicilina,239,3.99,2026-03-17,500 mg,129,2025-03-25
415,Naproxeno,422,14.22,2026-10-18,500 mg,122,2025-04-26
416,Salbutamol,117,22.98,2027-04-11,100 mcg,94,2025-01-17
417,Dipirona,112,19.07,2025-10-05,500 mg,19,2024-08-04
418,Salbutamol,225,6.32,2025-11-21,100 mcg,25,2025-03-22
419,Omeprazol,356,2.62,2027-03-12,20 mg,100,2024-05-31
420,Ranitidina,377,3.05,2026-12-05,150 mg,79,2024-06-28
421,Clorfenamina,400,19.85,2026-03-25,4 mg,88,2025-04-24
422,Omeprazol,497,19.79,2025-12-23,20 mg,187,2025-03-24
423,Dipirona,59,13.89,2027-08-13,500 mg,130,2025-03-23
424,Loratadina,141,12.37,2025-10-17,10 mg,28,2024-12-19
425,Omeprazol,182,2.02,2025-12-14,20 mg,74,2025-01-22
426,Losartan,135,11.52,2026-09-07,50 mg,75,2024-06-29
427,Dipirona,487,13.79,2025-11-09,500 mg,113,2024-09-03
428,Amoxicilina,53,6.28,2027-01-07,500 mg,110,2024-08-19
429,Naproxeno,345,22.4,2027-07-21,500 mg,94,2025-05-20
430,Ranitidina,438,13.55,2027-06-18,150 mg,4,2024-11-20
431,Losartan,426,23.47,2026-03-29,50 mg,142,2025-02-09
432,Naproxeno,44,7.69,2027-01-16,500 mg,37,2024-10-10
433,Ranitidina,416,22.66,2025-11-13,150 mg,17,2024-09-23
434,Dipirona,182,20.94,2027-07-16,500 mg,62,2025-01-13
435,Clorfenamina,417,23.75,2026-10-30,4 mg,176,2025-04-11
436,Atorvastatina,46,18.75,2025-08-24,20 mg,184,2024-08-20
437,Naproxeno,353,23.48,2026-11-21,500 mg,192,2024-09-25
438,Loratadina,365,13.83,2027-04-16,10 mg,28,2025-03-15
439,Clorfenamina,180,10.72,2027-06-10,4 mg,144,2025-04-22
440,Loratadina,209,14.0,2027-03-14,10 mg,73,2025-03-09
441,Paracetamol,427,24.31,2027-11-09,500 mg,56,2024-07-30
442,Ibuprofeno,62,11.96,2026-08-03,400 mg,196,2025-04-03
443,Omeprazol,76,15.59,2025-08-11,20 mg,81,2025-02-05
444,Azitromicina,248,12.85,2026-09-05,500 mg,19,2024-06-30
445,Naproxeno,359,12.95,2027-09-10,500 mg,19,2024-12-12
446,Omeprazol,306,14.61,2025-09-28,20 mg,43,2024-07-15
447,Dipirona,497,4.0,2027-10-14,500 mg,140,2024-09-13
448,Amoxicilina,231,24.75,2025-11-26,500 mg,166,2025-02-16
449,Loratadina,232,8.2,2026-02-25,10 mg,145,2025-05-25
450,Atorvastatina,298,21.12,2026-12-14,20 mg,39,2024-08-30
451,Cetirizina,385,13.73,2026-01-21,10 mg,91,2025-01-06
452,Ibuprofeno,414,22.71,2026-04-21,400 mg,76,2024-08-08
453,Ibuprofeno,392,2.66,2026-01-07,400 mg,196,2025-03-03
454,Azitromicina,163,23.85,2027-06-13,500 mg,14,2024-10-24
455,Cetirizina,286,22.61,2026-07-06,10 mg,99,2024-07-02
456,Cetirizina,328,18.91,2027-06-02,10 mg,89,2024-07-14
457,Losartan,163,17.13,2025-10-12,50 mg,56,2025-04-26
458,Dipirona,278,4.69,2026-06-17,500 mg,194,2024-06-16
459,Omeprazol,386,23.89,2025-09-29,20 mg,135,2024-09-22
460,Ranitidina,50,11.66,2026-09-04,150 mg,190,2025-03-30
461,Ibuprofeno,59,10.3,2026-04-26,400 mg,199,2025-03-09
462,Clorfenamina,427,6.47,2027-03-21,4 mg,11,2024-12-21
463,Ranitidina,184,22.93,2027-06-13,150 mg,80,2024-11-29
464,Salbutamol,305,4.85,2027-02-03,100 mcg,161,2024-10-01
465,Azitromicina,417,8.52,2026-11-01,500 mg,128,2024-08-08
466,Clorfenamina,492,13.33,2027-06-30,4 mg,49,2025-04-24
467,Loratadina,311,10.04,2026-09-05,10 mg,64,2025-05-15
468,Metformina,324,5.22,2025-12-18,850 mg,24,2024-12-14
469,Salbutamol,182,19.23,2027-08-27,100 mcg,54,2024-11-23
470,Salbutamol,392,18.48,2025-08-14,100 mcg,43,2024-12-23
471,Salbutamol,294,3.24,2026-01-15,100 mcg,46,2025-02-20
472,Naproxeno,384,8.05,2026-05-02,500 mg,32,2024-07-28
473,Ranitidina,349,22.88,2026-08-04,150 mg,89,2025-01-29
474,Clorfenamina,174,2.99,2027-08-06,4 mg,177,2024-08-17
475,Ibuprofeno,147,7.08,2027-08-24,400 mg,81,2024-12-06
476,Losartan,393,9.99,2027-03-21,50 mg,172,2025-04-11
477,Ranitidina,345,21.91,2026-03-31,150 mg,178,2024-06-16
478,Amoxicilina,124,20.23,2027-11-17,500 mg,197,2024-06-17
479,Ibuprofeno,352,22.79,2026-03-28,400 mg,71,2025-02-11
480,Salbutamol,170,17.23,2025-10-23,100 mcg,158,2025-04-20
481,Losartan,484,5.76,2027-02-06,50 mg,42,2024-07-28
482,Ibuprofeno,134,1.6,2026-06-02,400 mg,158,2024-07-24
483,Salbutamol,205,21.06,2027-06-17,100 mcg,45,2025-01-10
484,Azitromicina,215,6.05,2025-09-29,500 mg,149,2025-03-06
485,Clorfenamina,400,22.02,2026-10-22,4 mg,197,2024-07-20
486,Losartan,123,23.89,2026-03-25,50 mg,100,2025-04-19
487,Losartan,224,24.08,2026-09-28,50 mg,120,2025-02-08
488,Atorvastatina,104,20.9,2025-08-11,20 mg,142,2024-06-07
489,Naproxeno,99,21.72,2026-12-24,500 mg,81,2024-11-28
490,Naproxeno,411,6.08,2026-10-27,500 mg,55,2025-05-01
491,Ranitidina,253,5.7,2026-11-21,150 mg,54,2025-01-25
492,Ranitidina,284,14.44,2025-08-23,150 mg,198,2024-10-20
493,Loratadina,113,6.87,2027-07-27,10 mg,168,2025-05-13
494,Azitromicina,323,17.37,2027-09-19,500 mg,151,2024-11-07
495,Azitromicina,216,20.45,2025-09-06,500 mg,82,2024-10-02
496,Loratadina,411,5.81,2026-07-21,10 mg,46,2025-01-04
497,Ibuprofeno,311,19.91,2026-08-27,400 mg,96,2025-01-29
498,Naproxeno,492,22.05,2027-04-22,500 mg,151,2025-05-28
499,Metformina,389,13.02,2027-01-09,850 mg,119,2025-01-02
500,Ibuprofeno,266,13.83,2025-07-24,400 mg,72,2024-08-02
